language,dsp,bench_case,mode,precision,opt,samp_rate,buff_size,inputs,outputs,warmup_iters,run_iters,batches,elapsed_s,ns_per_compute,fast_ns_per_compute,slow_ns_per_compute,spread_ns_per_compute,spread_percent,ns_per_frame,ns_per_out_samp,frames_per_s,fast_frames_per_s,slow_frames_per_s,out_samp_per_s,fast_out_samp_per_s,slow_out_samp_per_s,checksum
mojo,custom_bargraph,run,scalar,double,O3,48000,128,1,8,50,640000,642,0.09975600000007034,155.86875000010994,154.8000000184402,157.39999998913845,2.5999999706982635,1.6680700722219364,1.217724609375859,0.15221557617198236,821203737.1179903,826873384.9144205,813214739.5732704,6569629896.943922,6614987079.315364,6505717916.5861635,29.928000086176326
mojo,custom_bargraph,run,vec,double,O3,48000,128,1,8,50,1000000,1000,0.08274100000016915,82.74100000016921,76.69999999961874,86.00000001024455,9.300000010625808,11.239893173404708,0.6464140625013219,0.08080175781266524,1546996047.9053712,1668839634.9496253,1488372092.845957,12375968383.24297,13350717079.597002,11906976742.767656,29.928000086176326
cpp,dbmeter,run,scalar,double,O3,48000,128,8,8,50,105696,429,0.24917962499999996,2357.5123467302451,2317.2764451435314,2441.6896687697163,124.41322362618484,5.277309524963461,18.41806520883004,2.302258151103755,54294519.465626463,55237259.356024615,52422714.334739685,434356155.72501171,441898074.84819692,419381714.67791748,0
cpp,dbmeter,run,vec,double,O3,48000,128,8,8,50,108582,420,0.25016337799999999,2303.9120480374281,2297.5548262548264,2316.9101037264695,19.355277471643149,0.84010487675216639,17.999312875292407,2.2499141094115509,55557676.391785853,55711401.763869494,55245993.271006711,444461411.13428682,445691214.11095595,441967946.16805369,0
mojo,dbmeter,run,scalar,double,O3,48000,128,8,8,50,106574,402,0.23724500000025728,2226.105804420002,2177.5037369035285,2284.4344904852164,106.9307535816879,4.803489275728654,17.391451597031267,2.1739314496289084,57499513.16143736,58782907.15680681,56031372.54892901,459996105.2914989,470263257.2544545,448250980.3914321,0.0
mojo,dbmeter,run,vec,double,O3,48000,128,8,8,50,106907,423,0.25296899999966627,2366.25291140586,2341.2359114855312,2431.525556060035,90.28964457450365,3.815722492692463,18.48635087035828,2.310793858794785,54093964.08262693,54671978.749370486,52641848.52221214,432751712.66101545,437375829.9949639,421134788.1776971,0.0
cpp,delays,run,scalar,double,O3,48000,128,3,3,50,780000,787,0.099654334000000011,127.76196666666667,127.2458,130.39580000000001,3.1500000000000057,2.4655224729112177,0.99814036458333333,0.33271345486111109,1001863100.103604,1005927111.1502305,981626708.83571398,3005589300.310812,3017781333.4506917,2944880126.5071421,408.76799881458282
cpp,delays,run,vec,double,O3,48000,128,3,3,50,290000,296,0.099776875000000015,344.05818965517244,342.95409999999998,347.67919999999998,4.7250999999999976,1.3733432721760421,2.6879546066810347,0.89598486889367823,372030092.14309424,373227787.62522453,368155472.05584919,1116090276.4292827,1119683362.8756735,1104466416.1675477,408.76799881458282
mojo,delays,run,scalar,double,O3,48000,128,3,3,50,780000,782,0.10625899999968169,136.22948717907914,121.89999997644918,266.10000004438916,144.20000006793998,105.85079857078466,1.0642928685865558,0.3547642895288519,939590999.3534579,1050041017.4301012,481022172.0355048,2818772998.060374,3150123052.290303,1443066516.1065145,408.7679988145828
mojo,delays,run,vec,double,O3,48000,128,3,3,50,350000,359,0.09933900000032736,283.82571428664954,266.59999998628336,289.1000000090571,22.500000022773747,7.927400122756281,2.2173883928644496,0.7391294642881499,450980984.3047783,480120030.03220415,442753372.521584,1352942952.9143348,1440360090.0966125,1328260117.5647519,408.7679988145828
cpp,echo,run,scalar,double,O3,48000,128,1,1,50,1000000,1000,0.056823794999999989,56.823794999999997,51.591699999999996,61.924999999999997,10.333300000000001,18.184811486103669,0.44393589843749998,0.44393589843749998,2252577463.3672395,2481019233.7139502,2067016552.2809851,2252577463.3672395,2481019233.7139502,2067016552.2809851,516.00049471855164
cpp,echo,run,vec,double,O3,48000,128,1,1,50,1000000,1000,0.051518960999999988,51.518960999999997,50.333400000000005,59.133299999999998,8.7998999999999938,17.080895711386717,0.40249188281249998,0.40249188281249998,2484522154.8625569,2543042989.347034,2164600994.7018008,2484522154.8625569,2543042989.347034,2164600994.7018008,516.00049471855164
mojo,echo,run,scalar,double,O3,48000,128,1,1,50,1000000,1000,0.04951699999992343,49.5169999999234,49.30000000058499,50.69999997431296,1.3999999737279722,2.8273117792478097,0.38685156249940156,0.38685156249940156,2584970818.106871,2596348884.3505306,2524654833.6262507,2584970818.106871,2596348884.3505306,2524654833.6262507,516.0004947185516
mojo,echo,run,vec,double,O3,48000,128,1,1,50,1000000,1000,0.05432799999971394,54.327999999713946,53.799999977854895,56.20000001727021,2.4000000394153176,4.417611617265414,0.4244374999977652,0.4244374999977652,2356059490.5145407,2379182157.113146,2277580070.4744787,2356059490.5145407,2379182157.113146,2277580070.4744787,516.0004947185516
cpp,echo_1,run,scalar,double,O3,48000,128,1,1,50,1000000,1000,0.058298329999999988,58.29833,50.587500000000006,64.962500000000006,14.375,24.657653143752146,0.455455703125,0.455455703125,2195603201.6697569,2530269335.3101058,1970367519.7229168,2195603201.6697569,2530269335.3101058,1970367519.7229168,516.00049471855164
cpp,echo_1,run,vec,double,O3,48000,128,1,1,50,1000000,1000,0.051533964000000002,51.533963999999997,51.220799999999997,52.616700000000002,1.3959000000000046,2.7086990630101822,0.40260909374999998,0.40260909374999998,2483798839.926228,2498984787.4301066,2432687720.8186755,2483798839.926228,2498984787.4301066,2432687720.8186755,516.00049471855164
mojo,echo_1,run,scalar,double,O3,48000,128,1,1,50,1000000,1000,0.04933499999970081,49.334999999700834,46.70000002988672,57.8000000132306,11.099999983343878,22.499239856919402,0.38542968749766277,0.38542968749766277,2594506942.3487635,2740899355.8476124,2214532871.465405,2594506942.3487635,2740899355.8476124,2214532871.465405,516.0004947185516
mojo,echo_1,run,vec,double,O3,48000,128,1,1,50,1000000,1000,0.05408299999908195,54.08299999908194,52.09999999351567,55.29999998543644,3.1999999919207767,5.916831521873965,0.42252343749282767,0.42252343749282767,2366732614.7250113,2456813819.8835087,2314647378.5480924,2366732614.7250113,2456813819.8835087,2314647378.5480924,516.0004947185516
cpp,freeverb,run,scalar,double,O3,48000,128,2,2,50,99816,241,0.12930562500000001,1295.4398593411877,1288.8842421441775,1299.0804597701149,10.196217625937379,0.78708537122848721,10.120623901103029,5.0603119505515144,98808137.69702594,99310702.865806028,98531233.410015926,197616275.39405188,198621405.73161206,197062466.82003185,1622.8697748184204
cpp,freeverb,run,vec,double,O3,48000,128,2,2,50,117063,648,0.5177899600000001,4423.1735048649016,4094.3230112119595,10615.264431006048,6520.9414197940878,147.42676073235475,34.556043006757044,17.278021503378522,28938498.537128832,31262799.649534918,12058107.532971647,57876997.074257664,62525599.299069837,24116215.065943293,1622.8697748184204
mojo,freeverb,run,scalar,double,O3,48000,128,2,2,50,108514,441,0.26615099999980885,2452.688132405117,2393.276630204206,2480.1603205764377,86.88369037223174,3.54238638106155,19.161626034414976,9.580813017207488,52187637.84471963,53483161.279637955,51609566.90503391,104375275.68943927,106966322.55927591,103219133.81006782,1622.8697748184204
mojo,freeverb,run,vec,double,O3,48000,128,2,2,50,104449,342,0.18806599999970786,1800.5533801157305,1795.0951920508649,1827.6854219962247,32.59022994535985,1.8100118721981524,14.066823282154145,7.033411641077072,71089255.89963506,71305410.74747252,70033933.88135499,142178511.79927012,142610821.49494505,140067867.76270998,1622.8697748184204
cpp,gate_compressor,run,scalar,double,O3,48000,128,1,2,50,119150,1000,2.4288267059999993,20384.613562736045,19745.074493927124,20739.515522875816,994.44102894869138,4.8783903893403826,159.25479345887535,79.627396729437677,6279245.8442278029,6482629.3787530763,6171793.1577917142,12558491.688455606,12965258.757506153,12343586.315583428,0
cpp,gate_compressor,run,vec,double,O3,48000,128,1,2,50,132950,1000,1.7839787959999998,13418.418924407672,12816.617384843983,15833.735863095239,3017.1184782512555,22.484902992283349,104.83139784693493,52.415698923467467,9539126.8316397648,9987034.5003326442,8084005.0072035287,19078253.66327953,19974069.000665288,16168010.014407057,0
mojo,gate_compressor,run,scalar,double,O3,48000,128,1,2,50,120050,1000,2.4621259999998983,20509.171178674707,19803.986711196914,20875.505254972108,1071.5185437751934,5.224582380439395,160.22789983339615,80.11394991669808,6241110.324979564,6463345.076253282,6131588.119023519,12482220.649959128,12926690.152506564,12263176.238047037,0.0
mojo,gate_compressor,run,vec,double,O3,48000,128,1,2,50,139750,1000,1.6281030000004648,11650.110912346794,11240.029006508,11785.663591297382,545.6345847893808,4.683514078918485,91.01649150270933,45.508245751354664,10987019.86299079,11387870.967760647,10860652.77601476,21974039.72598158,22775741.935521293,21721305.55202952,0.0
cpp,harpe,run,scalar,double,O3,48000,128,0,2,50,100474,299,0.16980350099999997,1690.0242948424468,1650.9012205506669,1916.3825617722239,265.48134122155693,15.708729278729482,13.203314803456616,6.6016574017283078,75738556.179710343,77533409.271637052,66792509.258500412,151477112.35942069,155066818.5432741,133585018.51700082,1.5185174942016602
cpp,harpe,run,vec,double,O3,48000,128,0,2,50,107284,423,0.26455129100000002,2465.8969743857424,2422.1727202472953,2485.1049334377449,62.932213190449602,2.5521022915454967,19.264820112388612,9.6324100561943062,51908089.157652229,52845116.671502955,51506879.358584061,103816178.31530446,105690233.34300591,103013758.71716812,1.5185174942016602
mojo,harpe,run,scalar,double,O3,48000,128,0,2,50,105554,418,0.24433399999998073,2314.777270401698,2240.62739101204,2337.692307649447,97.0649166374069,4.193272410203104,18.084197425013265,9.042098712506633,55296896.87068138,57126856.751574986,54754853.571257286,110593793.74136277,114253713.50314997,109509707.14251457,1.5185174942016602
mojo,harpe,run,vec,double,O3,48000,128,0,2,50,105276,321,0.18280199999935576,1736.4071583205646,1688.1427706874804,1747.8813558203333,59.738585132852904,3.4403558431901113,13.56568092437941,6.782840462189705,73715429.80956165,75822970.79522084,73231515.15620221,147430859.6191233,151645941.59044167,146463030.31240442,1.5185174942016602
cpp,highShelf,run,scalar,double,O3,48000,128,1,1,50,280000,286,0.099721122999999995,356.14686785714287,355.1542,358.4708,3.316599999999994,0.93124502819728405,2.7823974051339286,2.7823974051339286,359402290.32519019,360406831.73674983,357072319.41904336,359402290.32519019,360406831.73674983,357072319.41904336,8.2560000285739079
cpp,highShelf,run,vec,double,O3,48000,128,1,1,50,220000,220,0.10251620900000002,465.98276818181819,461.2833,534.875,73.591700000000003,15.792794288754862,3.6404903764204546,3.6404903764204546,274688269.05216515,277486741.87858093,239308249.59102595,274688269.05216515,277486741.87858093,239308249.59102595,8.2560000285739079
mojo,highShelf,run,scalar,double,O3,48000,128,1,1,50,350000,353,0.10050800000044546,287.1657142869871,286.4999999928841,290.5000000282598,4.000000035375706,1.3929239586652722,2.243482142867087,2.243482142867087,445735662.8308338,446771378.71964806,440619621.2996495,445735662.8308338,446771378.71964806,440619621.2996495,8.256000028573908
mojo,highShelf,run,vec,double,O3,48000,128,1,1,50,270000,278,0.09869599999956336,365.5407407391236,364.79999998846324,367.1999999824038,2.3999999939405825,0.6565615611238794,2.855787037024403,2.855787037024403,350166166.8168203,350877192.99355257,348583878.0123468,350166166.8168203,350877192.99355257,348583878.0123468,8.256000028573908
cpp,karplus,run,scalar,double,O3,48000,128,0,1,50,420000,427,0.098921707999999983,235.52787619047618,234.9333,237.82919999999999,2.8958999999999833,1.2295359881978514,1.8400615327380951,1.8400615327380951,543460086.63740432,544835491.60548973,538201364.6768353,543460086.63740432,544835491.60548973,538201364.6768353,0
cpp,karplus,run,vec,double,O3,48000,128,0,1,50,270000,273,0.09929904199999999,367.77422962962964,364.45830000000001,372.91669999999999,8.4583999999999833,2.2998892577432875,2.8732361689814816,2.8732361689814816,348039611.49997807,351206159.93654144,343240192.78299952,348039611.49997807,351206159.93654144,343240192.78299952,0
mojo,karplus,run,scalar,double,O3,48000,128,0,1,50,420000,428,0.0987979999995332,235.2333333322219,231.90000001704902,238.79999998825951,6.899999971210491,2.933257746029372,1.8377604166579835,1.8377604166579835,544140569.6497297,551962052.5683035,536013400.3613612,544140569.6497297,551962052.5683035,536013400.3613612,0.0
